2021-07-29 11:05:03,341 - DEBUG - 4
2021-07-29 11:05:03,342 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:33,266 - DEBUG - 4
2021-07-29 11:05:35,451 - DEBUG - -1
2021-07-29 11:06:10,207 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - 4
2021-07-29 11:06:10,208 - DEBUG - set to -1
2021-07-29 11:06:11,698 - DEBUG - -1
2021-07-29 15:41:39,585 - DEBUG - px, py: 43 19
2021-07-29 15:41:39,715 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,213 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,247 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,280 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,313 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,345 - DEBUG - px, py: 43 19
2021-07-29 15:41:40,382 - DEBUG - px, py: 30 19
2021-07-29 15:41:40,414 - DEBUG - px, py: 30 19
2021-07-29 15:41:40,444 - DEBUG - px, py: 30 19
2021-07-29 15:41:40,477 - DEBUG - px, py: 30 19
2021-07-29 15:41:40,510 - DEBUG - px, py: 30 19
2021-07-29 15:41:40,809 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,311 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,342 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,375 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,410 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,441 - DEBUG - px, py: 43 19
2021-07-29 15:41:41,577 - DEBUG - px, py: 43 19
2021-07-29 15:41:42,077 - DEBUG - px, py: 43 19
2021-07-29 15:41:42,111 - DEBUG - px, py: 43 19
2021-07-29 15:41:42,143 - DEBUG - px, py: 43 19
2021-07-29 15:41:42,176 - DEBUG - px, py: 43 19
2021-07-29 15:41:42,209 - DEBUG - px, py: 30 19
2021-07-29 15:41:42,242 - DEBUG - px, py: 30 19
2021-07-29 15:41:42,275 - DEBUG - px, py: 30 19
2021-07-29 15:41:52,280 - DEBUG - px, py: 30 19
2021-07-29 15:42:02,283 - DEBUG - px, py: 30 19
2021-07-29 15:42:12,287 - DEBUG - px, py: 30 19
2021-07-29 15:42:22,290 - DEBUG - px, py: 30 19
2021-07-29 15:42:32,295 - DEBUG - px, py: 30 19
2021-07-29 15:42:42,299 - DEBUG - px, py: 30 19
2021-07-29 15:42:52,302 - DEBUG - px, py: 30 19
2021-07-29 15:43:02,307 - DEBUG - px, py: 30 19
2021-07-29 15:43:12,313 - DEBUG - px, py: 30 19
2021-07-29 15:43:22,318 - DEBUG - px, py: 30 19
2021-07-29 15:43:32,321 - DEBUG - px, py: 30 19
2021-07-29 15:43:42,324 - DEBUG - px, py: 30 19
2021-07-29 15:43:52,328 - DEBUG - px, py: 30 19
2021-07-29 15:44:02,331 - DEBUG - px, py: 30 19
2021-07-29 15:44:12,337 - DEBUG - px, py: 30 19
2021-07-29 15:44:22,340 - DEBUG - px, py: 30 19
2021-07-29 15:44:32,345 - DEBUG - px, py: 30 19
2021-07-29 15:44:42,347 - DEBUG - px, py: 30 19
